MES,PERIODO,fp_cavancha,fp_rapel,fp_laja,fp_chapiquina,fp_cosapilla,fp_alfalfal,fp_hornitos,fp_juncal,fp_blanco,fp_losquilos,fp_chacabuquito,fp_lahiguera,fp_laconfluencia,fp_chacayes,fp_elpaso,fp_sauzal,fp_digua,fp_solar_sic_norte,fp_solar_sic_centro,fp_solar_sic_sur,fp_solar_sing,fp_solar_csp,fp_engie_eolico_calama_old,fp_engie_eolico_calama,fp_engie_solar_capricornio,fp_engie_solar_tamaya,fp_engie_eolico_trigales,fp_engie_eolico_lomastaltal,fp_engie_eolico_viii,fp_engie_eolico_x,fp_engie_eolico_rm,fp_solar_los-loros,fp_eolica_aurora,fp_eolica_cabo_leones_i,fp_eolica_canela,fp_eolica_canela_2,fp_eolica_cuel,fp_eolica_el_arrayan,fp_eolica_esperanza,fp_eolica_la_flor,fp_eolica_las_penas,fp_eolica_lebu,fp_eolica_lebu_iii,fp_eolica_los_buenos__aires,fp_eolica_los_cururos,fp_eolica_monte_redondo,fp_eolica_p_colorada,fp_eolica_punta_palmeras,fp_eolica_punta_sierra,fp_eolica_huajache,fp_eolica_raki,fp_eolica_renaico,fp_eolica_san_gabriel,fp_eolica_san_juan,fp_eolica_san_pedro,fp_eolica_san_pedro_2,fp_eolica_sarco,fp_eolica_sierra_gorda,fp_eolica_talinay_oriente,fp_eolica_talinay_poniente,fp_eolica_taltal,fp_eolica_totoral,fp_eolica_ucuquer,fp_eolica_ucuquer_ii,fp_eolica_valle_vientos,fp_engie_eolico_calama_2_old,fp_engie_eolico_vientosloa,fp_engie_eolico_taltal_2,fp_engie_eolico_iv,fp_engie_eolico_taltal_3,fp_engie_solar_pcamarones,fp_engie_solar_pcamarones2,fp_engie_eolico_lomaverde,fp_engie_eolico_viii_2,fp_engie_eolico_trigales_2,fp_engie_solar_centro,fp_engie_solar_tamaya2,fp_engie_solar_calama,fp_engie_eolico_calama_3,fp_solar_csp_likana,fp_eolica_cerro_tigre,fp_eolica_tchamma,fp_eolica_alena,fp_solar_rio_escondido,fp_eolica_ckani,fp_eolica_llanos_viento,fp_eolica_puelche_sur,fp_solar_valle_escondido,fp_solar_pampa_tigre,fp_eolica_caman,fp_eolica_entrerios,fp_solar_tata_inti,fp_solar_azimuth,fp_solar_algarrobal,fp_solar_limonares,fp_solar_conquistador,fp_eolica_molina,fp_eolica_calate,fp_eolica_aguaverde,fp_eolica_horizonte,fp_aes_bess_andes2,fp_aes_bess_andes3,fp_aes_bess_andes4,fp_solar_atlas,fp_solar_csp2,fp_engie_solar_lasdamas,fp_engie_eolico_calbuco,fp_engie_andacollo,fp_engie_losloros,fp_engie_pcamarones,fp_engie_elaguila,fp_engie_eolico_yolanda,fp_engie_eolico_fidelia,fp_engie_solar_coya,fp_engie_solar_libelula,fp_engie_eolico_chiloe,fp_engie_eolico_elrosal,fp_engie_eolico_pemuco,fp_engie_eolico_ramadilla,fp_engie_solar_fidelia,fp_engie_solar_yolanda,fp_engie_eolico_newenkuruf,fp_engie_eolico_litueche,fp_carnot,fp_solar_csp_09h,fp_solar_csp_13h,fp_pumping,fp_ess_h2_12H,fp_geo,fp_bess2H_norte,fp_bess2H_centrosur,fp_bess5H,fp_bess10H,fp_bess_alfalfal,fp_engie_bess5H,fp_engie_bess6H,fp_engie_bess7H
11,14,0,0,0,0.44886687,0.944611354,0.572728464,0.186555556,0.563229167,0.766608187,0.807518797,0.773022049,0.839070968,0.603533742,0.917383,0.426458,0.884385,0.783,0.909843261,0.733498839,0.733498839,0.909843261,0.97,0.732097977,0.719845051,0.86045938,0.944531644,0.203183562,0.264177548,0.34034384,0.271751291,0.198243233,0.739387023,0.108767773,0.111492592,0.07830281,0.08919597,0.374058883,0.465534785,0.188652295,0.518115437,0.375211867,0.237353995,0.350749084,0.353890385,0.337432129,0.452274308,0.185663764,0.215235494,0.348898796,0.252034698,0.252034698,0.284431695,0.36766984,0.073493646,0.352845725,0.317021687,0.00577798,0.167297066,0.163757958,0.149980549,0.365406141,0.03550322,0.008871751,0.005504977,0.19414902,0.753215666,0.781770697,0.325461476,0.606558057,0.325461476,0.965041198,0.948932911,0.303722031,0.328570078,0.249019828,0.949135033,0.985098228,0.889847279,0.521689415,0.535604982,0.942115281,0.296053779,0.346387473,0.941382649,0.210468956,0.892953212,0.362240819,0.990083863,1.088804728,0.385613905,0.319961564,0.898785801,1,0.883083165,0.984288182,0.913981883,0.385700241,0.169097534,0.276292,0.298658121,0.2620695,0,0.26631787,0.863968968,0.25,0.773163761,0.296764808,0.83103154,0.950976794,0.890594149,0.918884107,0.171611283,0.546355669,0.980972928,0.863621151,0.347439802,0.351378894,0.32353574,0.504810732,0.970452135,0.953657409,0.186186578,0.170689734,0,0.092,0.58537,0,0,1,0,0,0,0.033333333,0.033333333,0,0,0
11,15,0,0,0,0.440118341,0.931287227,0.543220974,0.185,0.554895833,0.755497076,0.810609858,0.770298314,0.833612903,0.601539877,0.912042,0.435314,0.880818,0.783,0.90521781,0.720403118,0.720403118,0.90521781,0.97,0.840507279,0.818572135,0.857705223,0.934803709,0.207004781,0.299561039,0.333244104,0.271019245,0.238627933,0.737020395,0.112137967,0.226196684,0.070097549,0.131676073,0.241145127,0.564436035,0.145488671,0.61372795,0.401420243,0.301152539,0.384403807,0.248071569,0.413369081,0.465160889,0.310296329,0.19650195,0.350945991,0.465793628,0.465793628,0.320425615,0.398920254,0.129925489,0.335792192,0.289196323,0.054564412,0.332878721,0.339581882,0.224012653,0.191275521,0.091325769,0.003851522,0.000374442,0.556114298,0.864752081,0.82920014,0.447887551,0.735419212,0.447887551,0.961952296,0.948932911,0.302903862,0.321715949,0.270444655,0.954640013,0.961700172,0.875203826,0.798542642,0.536249649,0.956441236,0.303167748,0.351186847,0.946074105,0.310767136,0.939238654,0.395041048,0.990180938,1.074488,0.359404299,0.362989777,0.898313641,1,0.878593757,0.98999705,0.919282975,0.489372876,0.484357614,0.337691,0.411001806,0.24742605,0,0.25167441,0.863968968,0.25,0.784680079,0.326131058,0.797252313,0.917716614,0.881421728,0.836033901,0.251217521,0.623502159,0.969112206,0.854082999,0.344601459,0.379662018,0.31721856,0.550638489,0.968194585,0.951438928,0.158040711,0.21540422,0,0.372,0.5898,0,0,1,0,0,0,0,0,0,0,0
11,16,0,0,0,0.434510309,0.951228669,0.549273408,0.187166667,0.55625,0.749590643,0.804427736,0.769390402,0.817277419,0.595895706,0.910222,0.424532,0.88157,0.783,0.852282098,0.705285346,0.705285346,0.852282098,0.97,0.87688861,0.850203143,0.848743825,0.912600248,0.220759469,0.337150004,0.340904496,0.295423674,0.279762431,0.729319925,0.130489731,0.27706132,0.112066644,0.191476344,0.243784505,0.407564669,0.255163388,0.578801965,0.450529812,0.373693421,0.3558667,0.285217089,0.453328381,0.470352691,0.303506464,0.314035414,0.519301937,0.525240226,0.525240226,0.408607638,0.571749556,0.19638118,0.327630029,0.260045201,0.077124765,0.480876181,0.473652226,0.340517684,0.136898122,0.094406208,0.006060502,0.000939086,0.710843057,0.902182848,0.841555834,0.456437709,0.5310272,0.456437709,0.951901713,0.898989074,0.330179401,0.32911134,0.256360904,0.958708492,0.912300956,0.855368804,0.881410274,0.538248982,0.955536985,0.332358075,0.388402956,0.951107174,0.488412774,0.936890628,0.434715555,0.989824566,1.041518407,0.388988709,0.388993237,0.901481321,1,0.827214978,0.994216214,0.92320077,0.607251809,0.619121372,0.399089,0.418847816,0.22759103,0,0.23183939,0.863968968,0.25,0.796615173,0.35643612,0.691535843,0.825142198,0.860486197,0.677865325,0.416706225,0.567770495,0.964185445,0.834839357,0.356939132,0.361714368,0.334621058,0.583922766,0.958477304,0.941889814,0.206599489,0.307744162,0,0.092,0.62417,0,0,1,0,0,0,0,0,0,0,0
11,17,0,0,0,0.429126598,0.947872803,0.557035581,0.193333333,0.552916667,0.749181287,0.804511278,0.769130999,0.813408602,0.5939591,0.911953,0.441364,0.882498,0.783,0.589830606,0.675526038,0.675526038,0.589830606,0.97,0.849149042,0.822406197,0.808686054,0.865723126,0.315362477,0.376177322,0.355011599,0.30324368,0.310349407,0.694898548,0.157003686,0.294866451,0.183215657,0.216893592,0.258550193,0.449541597,0.199927486,0.561275149,0.56300757,0.420844457,0.425983615,0.270662344,0.364786236,0.4859025,0.34271133,0.427199618,0.584921981,0.538210998,0.538210998,0.592736475,0.443970989,0.312174899,0.307344777,0.271806117,0.104166745,0.425449475,0.560197965,0.423462444,0.13317575,0.177051487,0.079042342,0.036288904,0.836599605,0.87364312,0.843341611,0.404165775,0.585720093,0.404165775,0.906975246,0.898989074,0.338919407,0.342730425,0.262324332,0.885135222,0.597777507,0.799019817,0.888002018,0.538937649,0.955561327,0.400322914,0.410835762,0.942248935,0.587261205,0.948392909,0.408751574,0.978599641,0.955995307,0.412204497,0.364090349,0.904341288,0.98348358,0.572482647,0.917918008,0.852352436,0.683872242,0.728651269,0.423648,0.370880734,0.79901982,0,0.79901982,0.863968968,0.25,0.793160278,0.378059169,0.545471963,0.671722711,0.816285993,0.474505727,0.510681566,0.415578995,0.907801398,0.796519411,0.357974985,0.38930953,0.351008415,0.601186871,0.934822103,0.918643993,0.259886159,0.366247233,0,0.277,0.63137,0,0,1,0,0,0,0.015080533,0.0444,0,0,0
11,18,0,0,0,0.431818453,0.947392729,0.562709738,0.213944444,0.546041667,0.749824561,0.80342523,0.766277562,0.813421505,0.590893661,0.912132,0.464026,0.856814,0.783,0.133624128,0.601238414,0.601238414,0.133624128,0.97,0.85240544,0.828157289,0.46295356,0.567257777,0.298469153,0.373780067,0.343688014,0.324471413,0.329857942,0.397812916,0.177698789,0.316844447,0.187265938,0.273924618,0.274135856,0.408137529,0.215240939,0.715580101,0.565007052,0.42969218,0.436725282,0.290378257,0.302058541,0.486783021,0.37263517,0.390833727,0.530403973,0.59361029,0.59361029,0.370740523,0.567841552,0.294257923,0.316203002,0.282914512,0.266102294,0.487098697,0.614365181,0.334047245,0.355408778,0.226896514,0.137555541,0.03473845,0.848928055,0.87699345,0.826770486,0.341185717,0.531773595,0.341185717,0.519221788,0.719191259,0.36264452,0.331798566,0.288831862,0.803232175,0.081000396,0.677977005,0.884235307,0.633638221,0.952137803,0.370851971,0.430611738,0.828322386,0.670717068,0.945649046,0.41662046,0.848777521,0.770156123,0.434916052,0.396677462,0.846361948,0.892480194,0.129694007,0.832981514,0.773482835,0.698249792,0.739388951,0.399089,0.313087394,0.67797701,0.884955752,0.67797701,0.863968968,0.35,0.702600135,0.360894623,0.367192709,0.448751066,0.534864513,0.241018782,0.604560032,0.281732581,0.628253309,0.623828648,0.377315195,0.428355032,0.379546016,0.608966473,0.680798626,0.669016667,0.274370589,0.323719499,0.475786925,0.812,0.56513,0.571428571,0,1,0,0,0,0.015080533,0.0444,0,0,0
11,19,0,0,0,0.435407594,0.947679207,0.567252809,0.216277778,0.537604167,0.760701754,0.800835422,0.760700389,0.813703226,0.588783231,0.916183,0.484653,0.863828,0.783,0,0.470856602,0.470856602,0,0.97,0.868581997,0.846369081,0.069773616,0.076864894,0.331169027,0.341560954,0.358308316,0.333899103,0.317737023,0.059956005,0.234570827,0.387778413,0.155810312,0.256297061,0.306643883,0.396578804,0.254974819,0.82348143,0.572286729,0.36491578,0.441461884,0.315984922,0.272262935,0.518857898,0.317423252,0.442639433,0.454517382,0.643817018,0.643822042,0.56982342,0.726513706,0.365298668,0.322318409,0.285928538,0.377168843,0.579902641,0.587063875,0.513589044,0.336792908,0.309936449,0.139502636,0.080709416,0.841237782,0.893636627,0.757557824,0.253159302,0.516713416,0.253159302,0.07825403,0.309651792,0.37318135,0.345913097,0.301385506,0.551899148,0,0.300145739,0.885176985,0.783675922,0.927370328,0.174974299,0.467986098,0.263066418,0.687326714,0.902949643,0.493866172,0.267986579,0.199731228,0.486786159,0.458332425,0.665121376,0.613221276,0,0.572339858,0.531458439,0.592988143,0.732690971,0.306991,0.232310387,0.67681241,0.884955752,0.67661633,0.579144033,0.776012,0.445367453,0.33994101,0.159200246,0.186866354,0.072475523,0.045191022,0.545582026,0.183058142,0.142328661,0.230254351,0.443848257,0.490225307,0.407510341,0.60711971,0.127796974,0.125585309,0.323954008,0.266056657,0.975786925,0,0.54019,1,0.409,1,0,0,0.5,1,0,0.666666667,1,1
11,20,0,0,0,0.454250581,0.948245522,0.576571161,0.216833333,0.546666667,0.795146199,0.807852966,0.762256809,0.839756989,0.609840491,0.946891,0.512431,0.895978,0.783,0,0.157432199,0.157432199,0,1,0.836793362,0.816655104,0,0,0.330163395,0.253341954,0.382726603,0.331349635,0.342324369,0,0.221853607,0.394751906,0.171215109,0.291705923,0.535474037,0.376835449,0.359099146,0.864010388,0.619213084,0.369391327,0.445329629,0.609345856,0.202224178,0.528082767,0.208476262,0.462515082,0.363207085,0.628951377,0.628951377,0.691022257,0.709094846,0.41443167,0.325599847,0.268626371,0.352057882,0.59122606,0.660575582,0.792214009,0.328092675,0.25284448,0.11527758,0.084685231,0.848678419,0.860931035,0.522987249,0.153796422,0.490989256,0.153796422,0,0,0.370331945,0.369486665,0.318041492,0.20049632,0,0.000294152,0.877643564,0.496155375,0.870272771,0.04489522,0.50881051,0,0.616582167,0.826678651,0.506053926,0,0,0.483741868,0.480735855,0.091256099,0.222773689,0,0.207922109,0.19307053,0.600260906,0.739171527,0.214894,0.14113053,0.62807193,0.884955752,0.62382356,0.047470822,1,0.084906677,0.313123182,0.022206714,0.026001784,0,0,0.389254508,0.161306945,0,0,0.480216137,0.510191999,0.474794257,0.58821936,0,0,0.395952165,0.272481755,0.975786925,0.716,0.68653,1,1,1,0,0,0.5,1,0,0.666666667,1,1
11,21,0,0,0.121124031,0.497768908,0.949495234,0.600827715,0.220333333,0.551666667,0.832339181,0.811779449,0.766277562,0.877548387,0.667989775,0.963898,0.565677,0.902421,0.783,0,0,0,0,1,0.736257296,0.721762082,0,0,0.349668277,0.161095565,0.37656612,0.332793861,0.482117255,0,0.192180095,0.41596267,0.182353205,0.301809892,0.615876044,0.369593552,0.31277771,0.551874469,0.608100623,0.361429758,0.457978375,0.663109763,0.204144726,0.507313767,0.098266485,0.484463601,0.46898553,0.616087846,0.616087846,0.609697396,0.488868351,0.461645396,0.312200642,0.264618027,0.465498824,0.65321827,0.639171886,0.659198393,0.135000456,0.307803601,0.161553729,0.129255941,0.837208255,0.757494961,0.261011147,0.076958919,0.481553589,0.076958919,0,0,0.37194608,0.363539295,0.330520763,0.023679769,0,0,0.813609484,0.4,0.657238365,0.005651329,0.577347321,0,0.517936326,0.655792437,0.549796867,0,0,0.47267491,0.53482328,0,0.026310855,0,0.024556798,0.022802741,0.587323357,0.729181384,0.184195,0.070620973,0.62777778,0.884955752,0.62352941,0,1,0,0.345374277,0,0.000358439,0,0,0.2545145,0.155339233,0,0,0.491527099,0.589994965,0.541906859,0.552083419,0,0,0.43210457,0.329820566,0.975786925,1,1,1,1,1,0,0,0,1,0.925,0.666666667,1,1
11,22,0,0,0.121124031,0.515938931,0.949369156,0.614956929,0.237166667,0.555416667,0.853391813,0.813450292,0.774189364,0.905165591,0.705740286,0.973147,0.627888,0.898639,0.783,0,0,0,0,1,0.411460988,0.408327552,0,0,0.281386536,0.134821645,0.404971934,0.329252706,0.539298001,0,0.200684571,0.347606156,0.190052256,0.294890309,0.466927905,0.237838469,0.371897696,0.821898904,0.586799525,0.324340853,0.427674293,0.64333133,0.212749433,0.472145015,0.077753118,0.520253572,0.352925859,0.620357983,0.620357983,0.609161759,0.641447953,0.502943574,0.307742527,0.28633248,0.497680529,0.529233973,0.601219198,0.672102515,0.041093981,0.353602635,0.341351033,0.297408484,0.700024579,0.423329761,0.117548601,0.082498513,0.309886273,0.082498513,0,0,0.367988318,0.390962446,0.337412267,0.000216921,0,0,0.680832936,0.4,0.335281066,0.014300966,0.615457078,0,0.254412643,0.426058894,0.504592159,0,0,0.483749987,0.49105664,0,0.000241024,0,0.000224955,0.000208887,0.527053886,0.609698827,0.190335,0.075704354,0.62777778,0.884955752,0.62352941,0,1,0,0.360245389,0,0,0,0,0.163923454,0.262562446,0,0,0.513315277,0.6395233,0.543059079,0.513138137,0,0,0.461773883,0.424744328,0.975786925,1,1,1,1,1,0,1,0,1,0.925,1,1,1
11,23,0,0,0.121124031,0.553624905,0.949214823,0.624503745,0.239222222,0.559479167,0.861637427,0.81144528,0.773022049,0.925058065,0.744723926,0.984962,0.658581,0.901435,0.783,0,0,0,0,1,0.130413124,0.128441061,0,0,0.238463924,0.159369541,0.416590959,0.325167001,0.512046826,0,0.236282254,0.343320149,0.193608377,0.315532374,0.470832712,0.263079055,0.450517996,0.793744621,0.558659503,0.332735312,0.479119015,0.603132217,0.271872203,0.409513958,0.03817096,0.513515435,0.346579211,0.636598112,0.636598112,0.582769095,0.572192828,0.492350856,0.325740716,0.288207183,0.601164804,0.108148028,0.61739741,0.716280908,0.010465377,0.30266672,0.435709396,0.27150367,0.287207329,0.134174948,0.034396627,0.232636911,0.342772926,0.232636911,0,0,0.363421942,0.402179526,0.382158461,0,0,0,0.304161879,0.4,0.114106749,0.122506503,0.634786506,0,0.0984675,0.216565765,0.486844364,0,0,0.514319334,0.47644445,0,0,0,0,0,0.540694882,0.250148319,0.239453,0.213478116,0.62777778,0.884955752,0.62352941,0,1,0,0.358427816,0,0,0,0,0.136016119,0.368992688,0,0,0.498158731,0.643628876,0.51863934,0.491385945,0,0,0.38195858,0.454893927,0.975786925,1,1,1,1,1,0,1,0.75,0.966666667,0.975,1,1,1
