Etapa,Year,Month,Block
310,2025,2,10
311,2025,2,11
312,2025,2,12
313,2025,3,1
314,2025,3,2
315,2025,3,3
316,2025,3,4
317,2025,3,5
318,2025,3,6
319,2025,3,7
320,2025,3,8
321,2025,3,9
322,2025,3,10
323,2025,3,11
324,2025,3,12
325,2025,4,1
326,2025,4,2
327,2025,4,3
328,2025,4,4
329,2025,4,5
330,2025,4,6
331,2025,4,7
332,2025,4,8
333,2025,4,9
334,2025,4,10
335,2025,4,11
336,2025,4,12
337,2025,5,1
338,2025,5,2
339,2025,5,3
340,2025,5,4
341,2025,5,5
342,2025,5,6
343,2025,5,7
344,2025,5,8
345,2025,5,9
346,2025,5,10
347,2025,5,11
348,2025,5,12
349,2025,6,1
350,2025,6,2
351,2025,6,3
352,2025,6,4
353,2025,6,5
354,2025,6,6
355,2025,6,7
356,2025,6,8
357,2025,6,9
358,2025,6,10
359,2025,6,11
360,2025,6,12
361,2025,7,1
362,2025,7,2
363,2025,7,3
364,2025,7,4
365,2025,7,5
366,2025,7,6
367,2025,7,7
368,2025,7,8
369,2025,7,9
370,2025,7,10
371,2025,7,11
372,2025,7,12
373,2025,8,1
374,2025,8,2
375,2025,8,3
376,2025,8,4
377,2025,8,5
378,2025,8,6
379,2025,8,7
380,2025,8,8
381,2025,8,9
382,2025,8,10
383,2025,8,11
384,2025,8,12
385,2025,9,1
386,2025,9,2
387,2025,9,3
388,2025,9,4
389,2025,9,5
390,2025,9,6
391,2025,9,7
392,2025,9,8
393,2025,9,9
394,2025,9,10
395,2025,9,11
396,2025,9,12
397,2025,10,1
398,2025,10,2
399,2025,10,3
400,2025,10,4
401,2025,10,5
402,2025,10,6
403,2025,10,7
404,2025,10,8
405,2025,10,9
406,2025,10,10
407,2025,10,11
408,2025,10,12
409,2025,11,1
410,2025,11,2
411,2025,11,3
412,2025,11,4
413,2025,11,5
414,2025,11,6
415,2025,11,7
416,2025,11,8
417,2025,11,9
418,2025,11,10
419,2025,11,11
420,2025,11,12
421,2025,12,1
422,2025,12,2
423,2025,12,3
424,2025,12,4
425,2025,12,5
426,2025,12,6
427,2025,12,7
428,2025,12,8
429,2025,12,9
430,2025,12,10
431,2025,12,11
432,2025,12,12
433,2026,1,1
434,2026,1,2
435,2026,1,3
436,2026,1,4
437,2026,1,5
438,2026,1,6
439,2026,1,7
440,2026,1,8
441,2026,1,9
442,2026,1,10
443,2026,1,11
444,2026,1,12
445,2026,2,1
446,2026,2,2
447,2026,2,3
448,2026,2,4
449,2026,2,5
450,2026,2,6
451,2026,2,7
452,2026,2,8
453,2026,2,9
454,2026,2,10
455,2026,2,11
456,2026,2,12
457,2026,3,1
458,2026,3,2
459,2026,3,3
460,2026,3,4
461,2026,3,5
462,2026,3,6
463,2026,3,7
464,2026,3,8
465,2026,3,9
466,2026,3,10
467,2026,3,11
468,2026,3,12
469,2026,4,1
470,2026,4,2
471,2026,4,3
472,2026,4,4
473,2026,4,5
474,2026,4,6
475,2026,4,7
476,2026,4,8
477,2026,4,9
478,2026,4,10
479,2026,4,11
480,2026,4,12
481,2026,5,1
482,2026,5,2
483,2026,5,3
